"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","2200uF 63V","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"C2","1","100nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"C3","1","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C4","1","10uF 50V","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"D1","1","MDB6S","","","","Package_SO:TSSOP-4_4.4x5mm_P4mm","https://www.onsemi.com/pub/Collateral/MDB8S-D.PDF"
"D2,D3","2","1N4002","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D4","1","LED","","","","LED_THT:LED_D5.0mm_Horizontal_O3.81mm_Z9.0mm","~"
"F1","1","Fuse","","","","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open","~"
"J1","1","220V","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"J2","1","1,5-30V 1,5A","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"R1","1","220R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R2","1","1K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R3","1","5K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"SW2","1","SW_SPST","","","","Button_Switch_THT:SW_E-Switch_EG1224_SPDT_Angled","~"
"TR1","1","35-40V 2A","","","","Transformer_THT:Transformer_Breve_TEZ-35x42",""
"U1","1","LM317_TO-220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/lm317.pdf"
